1. Пол,2. Возраст,3. Образование,4. Наличие брака,5. Средний доход за месяц,6. Членство в молодёжной организации,7. Посещение мероприятий культурной направленности,8. Посещение мероприятий политической направленности,9. Посещение мероприятий развлекательной направленности
Женский,33-35,Высшее,Да,27000,Нет,Редко,Никогда,Постоянно
Женский,33-35,Высшее,Да,27000,Нет,Постоянно,Никогда,Постоянно
Мужской,21-23,Среднее профессиональное,Нет,26000,Нет,Редко,Никогда,Часто
Мужской,27-29,Среднее профессиональное,Да,Нет,Да,Часто,Редко,Никогда
Женский,18-20,Среднее общее,Да,Нет,Да,Никогда,Часто,Никогда
Мужской,27-29,Среднее профессиональное,Да,Нет,Да,Часто,Постоянно,Никогда
Мужской,21-23,Среднее профессиональное,Нет,16000,Нет,Никогда,Никогда,Никогда
Мужской,33-35,Среднее профессиональное,Нет,25000,Нет,Никогда,Никогда,Никогда
Мужской,21-23,Среднее общее,Нет,21000,Да,Никогда,Никогда,Никогда
Мужской,24-26,Среднее профессиональное,Да,Нет,Да,Часто,Редко,Никогда
Женский,18-20,Среднее общее,Да,Нет,Да,Никогда,Часто,Никогда
